week,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2012-W37,0,0,0,0,0,0,0,1,0,0,1,0,25,4,0,0,0,0,0,0,0,1,4,2,0,1,10,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012-W38,0,1,0,0,0,1,0,0,0,1,1,4,14,3,1,0,0,0,0,0,2,0,2,3,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2012-W39,0,0,0,0,0,0,0,0,0,1,2,2,21,3,0,0,0,1,0,0,1,0,4,5,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2012-W40,0,0,0,1,0,0,0,1,0,1,1,2,15,4,0,0,0,0,0,0,1,0,1,1,0,2,7,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012-W41,0,0,0,1,0,0,0,0,0,0,1,1,9,5,0,0,0,0,1,1,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-W42,0,0,0,2,0,0,0,0,0,0,0,1,11,8,0,1,0,0,0,1,1,0,0,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-W43,0,0,0,0,0,0,0,1,0,1,0,2,7,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-W44,1,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-W45,0,0,0,1,0,0,0,0,0,0,0,3,6,9,0,0,0,0,1,0,0,0,4,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2012-W46,0,0,0,0,0,0,0,0,0,0,2,2,14,7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-W47,0,0,0,0,0,0,0,0,0,0,1,8,13,7,0,0,0,0,0,0,1,0,3,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2012-W48,0,0,0,1,0,0,0,0,0,1,1,3,18,4,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-W49,0,0,0,0,0,0,1,0,0,0,3,5,22,4,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-W50,3,0,0,1,0,0,0,0,0,0,0,2,9,6,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-W51,1,0,0,1,0,0,0,0,0,0,4,4,20,10,0,0,0,0,0,2,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-W52,0,0,0,1,0,0,0,1,0,2,6,2,18,7,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-W01,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-W02,0,0,0,0,0,0,2,1,0,1,9,5,26,7,0,0,0,0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-W03,0,0,0,0,0,0,0,0,0,0,6,1,22,5,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0
2013-W04,0,1,0,0,0,0,0,0,0,1,10,4,29,15,0,0,0,0,0,0,0,0,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
