dgp,detector,kind,T,R,detect_rate,type_acc_given_hit,loc_acc_given_hit,spurious_per_run,clean_FWER
gstar,GSTAR,AO,100,1000,0.425,0.7623529411764706,0.9952941176470588,0.014,0.014
gstar,GSTAR,AO,250,1000,0.513,0.7660818713450293,0.9902534113060428,0.017,0.032
gstar,GSTAR,IO,100,1000,0.351,0.6495726495726496,0.9743589743589743,0.014,0.014
gstar,GSTAR,IO,250,1000,0.407,0.7174447174447175,0.9975429975429976,0.019,0.032
gstar,VAR-TPP,AO,100,1000,0.363,0.8181818181818182,0.9862258953168044,0.012,0.01
gstar,VAR-TPP,AO,250,1000,0.468,0.75,0.9893162393162394,0.038,0.024
gstar,VAR-TPP,IO,100,1000,0.309,0.5922330097087378,0.970873786407767,0.014,0.01
gstar,VAR-TPP,IO,250,1000,0.411,0.6715328467153284,0.975669099756691,0.018,0.024
var,GSTAR,AO,100,1000,0.39,0.8205128205128205,0.9897435897435898,0.016,0.011
var,GSTAR,AO,250,1000,0.456,0.793859649122807,0.9890350877192983,0.033,0.033
var,GSTAR,IO,100,1000,0.32,0.603125,0.9875,0.019,0.011
var,GSTAR,IO,250,1000,0.389,0.6709511568123393,0.9820051413881749,0.035,0.033
var,VAR-TPP,AO,100,1000,0.399,0.7944862155388471,0.9824561403508771,0.014,0.01
var,VAR-TPP,AO,250,1000,0.486,0.8106995884773662,0.9897119341563786,0.028,0.027
var,VAR-TPP,IO,100,1000,0.301,0.6212624584717608,0.9667774086378738,0.008,0.01
var,VAR-TPP,IO,250,1000,0.402,0.6890547263681592,0.972636815920398,0.015,0.027
